M+FMP10	FMP-10	1	M+C20H14N	268.112076	1
M+2FMP10a	FMP-10	2	M+C39H25N2	521.201224	3
M+2FMP10b	FMP-10	2	M+C40H27N2	535.216875	3
M+3FMP10a	FMP-10	3	M+C58H36N3	774.290375	6
M+3FMP10b	FMP-10	3	M+C59H38N3	788.306025	6
M+3FMP10c	FMP-10	3	M+C60H40N3	802.321675	6
M+AMPP	AMPP	1	M+AMPP	167.09676	1
M+K	Positive Mode	1	M+K	38.963157	1
M+Na	Positive Mode	1	M+NA	22.98922	1
M+NORHARMANE+H	Positive Mode	1	M+C11H9N2	169.076925	1
M+H	Positive Mode	1	M+H	1.007276	1
M-H	Negative Mode	1	M-H	-1.007277	1
M+K-H2	Negative Mode	1	M+K-H2	36.948605	1
M+Na-H2	Negative Mode	1	M+Na-H2	20.974667	1
M+Cl	Negative Mode	1	M+Cl	34.969401	1
